WKT;ID;NOMBRE;DIA;NUMERO_DE;UBICACION;BARRIO;COMUNA;CALLE;CALLE2;DIRECCION_;OBSERVACION
POINT (-58.489780984287691 -34.572309413552759);31;FIAB 3;SABADO;3;BAUNESS ENTRE NAHUEL HUAPI Y Dr. PEDRO I. RIVERA;Villa Urquiza;COMUNA 12;NAHUEL HUAPI;CAPDEVILA;NAHUEL HUAPI y CAPDEVILA;PLAZA ECHEVERRIA
POINT (-58.481101689266396 -34.571051485410678);32;FIAB 9;VIERNES;9;MILLER Y MONROE;Villa Urquiza;COMUNA 12;MILLER;MONROE;MILLER y MONROE;PLAZA MARCOS SASTRE
POINT (-58.51929589120703 -34.620214003814198);66;FIAB 2;JUEVES;2;NOGOYA ENTRE JOSE GORDILLO Y JUAN ESTEBAN MARTINEZ;Villa Real;COMUNA 10;NOGOYA;MARTINEZ, JUAN ESTEBAN;NOGOYA y MARTINEZ, JUAN ESTEBAN;PLAZA DR. JUAN B. TERAN
POINT (-58.452953876952627 -34.569685580648368);34;FIAB 6;SABADO;6;MOLDES Y VIRREY  ARREDONDO;Colegiales;COMUNA 13;MOLDES;ARREDONDO, VIRREY;MOLDES y ARREDONDO, Virrey;PLAZA JUAN J. PASO
POINT (-58.445552665321316 -34.574443683866797);35;FIAB 10;SABADO;10;CRAMER ENTRE MAURE Y OLLEROS;Colegiales;COMUNA 13;CRAMER;LACROZE, FEDERICO AV.;CRAMER y LACROZE, FEDERICO AV.;
POINT (-58.458694174444929 -34.577044916438609);36;FIAB 12;JUEVES;12;VIRREY ARREDONDO ENTRE DELGADO Y AV. ALVAREZ THOMAS;Colegiales;COMUNA 13;ARREDONDO, VIRREY;DELGADO;ARREDONDO, Virrey y DELGADO;PLAZA SAN MIGUEL DE CARICOITS
POINT (-58.466198541726122 -34.615693683751708);37;FIAB 8;MARTES;8;GAVILAN ENTRE AV. GAONA  Y LUIS VIALE;Villa Gral. Mitre;COMUNA 11;GAONA AV.;GAVILAN;GAONA AV. y GAVILAN;PLAZA DE LA ASUNCION
POINT (-58.467889084036983 -34.610025444169551);38;FIAB 10;MIERCOLES;10;R. ESCALADA DE SAN MARTIN ENTRE BOYACA Y ANDRES LAMAS;Villa Gral. Mitre;COMUNA 11;ESCALADA DE SAN MARTIN, R.;BOYACA;ESCALADA DE SAN MARTIN, R. y BOYACA;PLAZA DR. R.SAENZ PENIA
POINT (-58.406634693668799 -34.597430207728323);39;FIAB 1;SABADO;1;JAURES, JEAN ENTRE  CORDOBA AV. y PARAGUAY;Recoleta;COMUNA 2;JEAN JAURES;PARAGUAY;JAURES, JEAN y PARAGUAY;
POINT (-58.388255993047444 -34.649602177068516);40;FIAB 3;MIERCOLES;3;CALIFORNIA ENTRE AV. VELEZ SARSFIELD Y LUZURIAGA;Barracas;COMUNA 4;CALIFORNIA;VELEZ SARSFIELD AV.;CALIFORNIA y VELEZ SARSFIELD AV.;PLAZA LEONARDO PEREYRA
POINT (-58.376997477268326 -34.643854298742177);41;FIAB 4;VIERNES;4;HERRERA Y BENITO  QUINQUELA MARTIN;Barracas;COMUNA 4;HERRERA;QUINQUELA MARTIN, BENITO;HERRERA y QUINQUELA MARTIN, BENITO;PLAZA HERRERA
POINT (-58.386780904221084 -34.633994709362049);42;FIAB 6;JUEVES;6;BAIGORRI ENTRE DR. ENRIQUE FINOCHIETTO Y AV. CASEROS;Barracas;COMUNA 4;FINOCHIETTO ENRIQUE DR.;BAIGORRI;FINOCHIETTO ENRIQUE DR. y BAIGORRI;PARQUE ESPANIA
POINT (-58.441268419443425 -34.635644289448209);43;FIAB 6;VIERNES;6;AV. ASAMBLEA ENTRE VICTOR MARTINEZ  Y HORTIGUERA;Parque Chacabuco;COMUNA 7;MARTINEZ, VICTOR;ASAMBLEA AV.;MARTINEZ, VICTOR y ASAMBLEA AV.;PARQUE CHACABUCO
POINT (-58.440951593713059 -34.63558276856687);44;FIAB 6;DOMINGO;6;AV. ASAMBLEA ENTRE VICTOR MARTINEZ  Y HORTIGUERA;Parque Chacabuco;COMUNA 7;MARTINEZ, VICTOR;ASAMBLEA AV.;MARTINEZ, VICTOR y ASAMBLEA AV.;PARQUE CHACABUCO
POINT (-58.426861303133698 -34.637918267294182);45;FIAB 9;MARTES;9;DOBLAS ENTRE ZANIARTU Y SARAZA;Parque Chacabuco;COMUNA 7;ZANIARTU;DOBLAS;ZANIARTU y DOBLAS;
POINT (-58.432028775345593 -34.645046141879575);46;FIAB 5;JUEVES;5;DEL BARCO CENTENERA  Y AV. RIESTRA;Nueva Pompeya;COMUNA 4;BARCO CENTENERA DEL;RIESTRA AV.;BARCO CENTENERA del y RIESTRA AV.;PLAZOLETA HOMERO MANZI
POINT (-58.425692831524145 -34.654220245974571);47;FIAB 9;MIERCOLES;9;CONDOR ENTRE CRESPO Y AGUSTIN DE VEDIA;Nueva Pompeya;COMUNA 4;CONDOR;CRESPO;CONDOR y CRESPO;
POINT (-58.420381831301412 -34.646246001402766);48;FIAB 9;JUEVES;9;CORRALES Y AV. LA PLATA;Nueva Pompeya;COMUNA 4;CORRALES;LA PLATA AV.;CORRALES y LA PLATA AV.;
POINT (-58.410764273604045 -34.584691539417278);49;FIAB 1;VIERNES;1;SALGUERO, JERONIMO ENTRE JUNCAL Y ALVAREZ, JULIAN;Palermo;COMUNA 14;SALGUERO, JERONIMO;JUNCAL;SALGUERO, JERONIMO y JUNCAL;PARQUE LAS HERAS
POINT (-58.424376773763797 -34.588917603614824);50;FIAB 11;SABADO;11;MALABIA Y NICARAGUA;Palermo;COMUNA 14;MALABIA;NICARAGUA;MALABIA y NICARAGUA;PLAZA PALERMO VIEJO
POINT (-58.41931484391408 -34.592172117957958);51;FIAB 12;MIERCOLES;12;MEDRANO ENTRE EL SALVADOR Y COSTA RICA;Palermo;COMUNA 14;COSTA RICA;MEDRANO;COSTA RICA y MEDRANO;PLAZA UNIDAD LATINOAMERICANA
POINT (-58.503521446950401 -34.576005405128377);52;FIAB 3;JUEVES;3;LARSEN ENTRE ZAMUDIO GRAL. JOSE GERVASIO ARTIGAS;Villa Pueyrredon;COMUNA 12;LARSEN;ZAMUDIO;LARSEN y ZAMUDIO;PLAZA LEANDRO N. ALEM
POINT (-58.50145062510154 -34.590533034522828);53;FIAB 7;VIERNES;7;HABANA ENTRE HELGUERA Y ARGERICH;Villa Pueyrredon;COMUNA 12;HELGUERA;PAREJA;HELGUERA y PAREJA;PLAZA MARTIN RODRIGUEZ
POINT (-58.512383245679864 -34.598443320452638);54;FIAB 7;MARTES;7;PAREJA Y AV.  CHIVILCOY;Villa Devoto;COMUNA 11;PAREJA;CHIVILCOY AV.;PAREJA y CHIVILCOY AV.;PLAZA ARENALES
POINT (-58.52296931533904 -34.613350310841959);55;FIAB 7;JUEVES;7;CORONEL RAMON LISTA Y PEDRO CALDERON DE LA BARCA;Villa Devoto;COMUNA 11;LISTA, RAMON, CORONEL;CERVANTES;LISTA, RAMON, CORONEL y CERVANTES;PLAZA EL MAESTRO
POINT (-58.521125850468728 -34.627893111964745);56;FIAB 12;VIERNES;12;ARREGUI ENTRE ROMA Y LISBOA;Versalles;COMUNA 10;ROMA;ARREGUI;ROMA y ARREGUI AV.;PLAZA CIUDAD DE BANFF
POINT (-58.370632724702169 -34.615309437137064);57;FIAB 9;SABADO;9;BALCARCE ENTRE MEXICO Y CHILE;Monserrat;COMUNA 1;BALCARCE;MEXICO;BALCARCE y MEXICO;
POINT (-58.440803696432035 -34.551129263032252);58;FIAB 9;DOMINGO;9;MENDOZA Y RAMSAY;Belgrano;COMUNA 13;MENDOZA;RAMSAY;MENDOZA y RAMSAY;
POINT (-58.458156128493421 -34.55459924454366);59;FIAB 11;MIERCOLES;11;MANUEL UGARTE ENTRE ARCOS Y O'HIGGINS;Belgrano;COMUNA 13;UGARTE MANUEL;ARCOS;UGARTE, MANUEL y ARCOS;PLAZA ALBERTI
POINT (-58.47094346530416 -34.541232669820936);60;FIAB 4;SABADO;4;CUBA Y ARIAS;NuNIez;COMUNA 13;CUBA;ARIAS;CUBA y ARIAS;PLAZA FELIX LIMA
POINT (-58.364952466675078 -34.627807229427866);61;FIAB 3;MARTES;3;NECOCHEA ENTRE PI Y MARGALL Y GUALEGUAY;Boca;COMUNA 4;NECOCHEA;PI Y MARGALL;NECOCHEA y PI Y MARGALL;
POINT (-58.364894218740595 -34.627848609815409);62;FIAB 3;VIERNES;3;NECOCHEA ENTRE PI Y MARGALL Y GUALEGUAY;Boca;COMUNA 4;NECOCHEA;PI Y MARGALL;NECOCHEA y PI Y MARGALL;
POINT (-58.361283807920955 -34.627117099585853);63;FIAB 8;SABADO;8;CABOTO Y ARZOBISPO ESPINOSA;Boca;COMUNA 4;CABOTO;ARZOBISPO ESPINOSA;CABOTO y ARZOBISPO ESPINOSA;PLAZA ISLAS MALVINAS
POINT (-58.50410021742492 -34.56717545108063);64;FIAB 2;SABADO;2;AIZPURUA ENTRE AV. CRISOLOGO LARRALDE Y ENRIQUE BANCHS;Saavedra;COMUNA 12;AIZPURUA;LARRALDE CRISOLOGO, AV.;AIZPURUA y LARRALDE, CRISOLOGO AV.;PLAZA GRAL. PAZ
POINT (-58.508617189206149 -34.639561739362087);65;FIAB 8;DOMINGO;8;CORVALAN ENTRE AV. RIVADAVIA Y AV. RAMON FALCON;Villa Luro;COMUNA 10;CORVALAN;RIVADAVIA;CORVALAN y RIVADAVIA AV.;
POINT (-58.445371683905471 -34.580504352780316);33;FIAB 2;JUEVEMIERCOLESS;2;CONDE ENTRE SANTOS DUMONT Y CONCEPCION ARENAL;Colegiales;COMUNA 13;CONDE;DUMONT, SANTOS;CONDE y DUMONT, SANTOS;PLAZA MAFALDA
